SalaryID,EmployeeID,BaseSalary,Bonus,EffectiveDate
135,135,117500.00,11750.00,2026-01-01
136,136,118000.00,11800.00,2026-01-01
137,137,118500.00,11850.00,2026-01-01
138,138,119000.00,11900.00,2026-01-01
139,139,119500.00,11950.00,2026-01-01
140,140,120000.00,12000.00,2026-01-01
141,141,120500.00,12050.00,2026-01-01
142,142,121000.00,12100.00,2026-01-01
143,143,121500.00,12150.00,2026-01-01
144,144,122000.00,12200.00,2026-01-01
145,145,122500.00,12250.00,2026-01-01
146,146,123000.00,12300.00,2026-01-01
147,147,123500.00,12350.00,2026-01-01
148,148,124000.00,12400.00,2026-01-01
149,149,124500.00,12450.00,2026-01-01
150,150,125000.00,12500.00,2026-01-01
151,151,125500.00,12550.00,2026-01-01
152,152,126000.00,12600.00,2026-01-01
153,153,126500.00,12650.00,2026-01-01
154,154,127000.00,12700.00,2026-01-01
155,155,127500.00,12750.00,2026-01-01
156,156,128000.00,12800.00,2026-01-01
157,157,128500.00,12850.00,2026-01-01
158,158,129000.00,12900.00,2026-01-01
159,159,129500.00,12950.00,2026-01-01
160,160,130000.00,13000.00,2026-01-01
161,161,130500.00,13050.00,2026-01-01
162,162,131000.00,13100.00,2026-01-01
163,163,131500.00,13150.00,2026-01-01
164,164,132000.00,13200.00,2026-01-01
165,165,132500.00,13250.00,2026-01-01
166,166,133000.00,13300.00,2026-01-01
167,167,133500.00,13350.00,2026-01-01
168,168,134000.00,13400.00,2026-01-01
169,169,134500.00,13450.00,2026-01-01
170,170,135000.00,13500.00,2026-01-01
171,171,135500.00,13550.00,2026-01-01
172,172,136000.00,13600.00,2026-01-01
173,173,136500.00,13650.00,2026-01-01
174,174,137000.00,13700.00,2026-01-01
175,175,137500.00,13750.00,2026-01-01
176,176,138000.00,13800.00,2026-01-01
177,177,138500.00,13850.00,2026-01-01
178,178,139000.00,13900.00,2026-01-01
179,179,139500.00,13950.00,2026-01-01
180,180,140000.00,14000.00,2026-01-01
181,181,140500.00,14050.00,2026-01-01
182,182,141000.00,14100.00,2026-01-01
183,183,141500.00,14150.00,2026-01-01
184,184,142000.00,14200.00,2026-01-01
185,185,142500.00,14250.00,2026-01-01
186,186,143000.00,14300.00,2026-01-01
187,187,143500.00,14350.00,2026-01-01
188,188,144000.00,14400.00,2026-01-01
189,189,144500.00,14450.00,2026-01-01
190,190,145000.00,14500.00,2026-01-01
191,191,145500.00,14550.00,2026-01-01
192,192,146000.00,14600.00,2026-01-01
193,193,146500.00,14650.00,2026-01-01
194,194,147000.00,14700.00,2026-01-01
195,195,147500.00,14750.00,2026-01-01
196,196,148000.00,14800.00,2026-01-01
197,197,148500.00,14850.00,2026-01-01
198,198,149000.00,14900.00,2026-01-01
199,199,149500.00,14950.00,2026-01-01
200,200,150000.00,15000.00,2026-01-01
