AttendanceID,EmployeeID,AttendanceDate,Status,WorkingHours
111,111,2026-06-29,Present,8.00
112,112,2026-06-29,Present,8.00
113,113,2026-06-29,Present,8.00
114,114,2026-06-29,Present,8.00
115,115,2026-06-29,Present,8.00
116,116,2026-06-29,Present,8.00
117,117,2026-06-29,Present,8.00
118,118,2026-06-29,Present,8.00
119,119,2026-06-29,Present,8.00
120,120,2026-06-29,Present,8.00
121,121,2026-06-29,Present,8.00
122,122,2026-06-29,Present,8.00
123,123,2026-06-29,Present,8.00
124,124,2026-06-29,Present,8.00
125,125,2026-06-29,Present,8.00
126,126,2026-06-29,Present,8.00
127,127,2026-06-29,Present,8.00
128,128,2026-06-29,Present,8.00
129,129,2026-06-29,Present,8.00
130,130,2026-06-29,Present,8.00
131,131,2026-06-29,Present,8.00
132,132,2026-06-29,Present,8.00
133,133,2026-06-29,Present,8.00
134,134,2026-06-29,Present,8.00
135,135,2026-06-29,Present,8.00
136,136,2026-06-29,Present,8.00
137,137,2026-06-29,Present,8.00
138,138,2026-06-29,Present,8.00
139,139,2026-06-29,Present,8.00
140,140,2026-06-29,Present,8.00
141,141,2026-06-29,Present,8.00
142,142,2026-06-29,Present,8.00
143,143,2026-06-29,Present,8.00
144,144,2026-06-29,Present,8.00
145,145,2026-06-29,Present,8.00
146,146,2026-06-29,Present,8.00
147,147,2026-06-29,Present,8.00
148,148,2026-06-29,Present,8.00
149,149,2026-06-29,Present,8.00
150,150,2026-06-29,Present,8.00
151,151,2026-06-29,Present,8.00
152,152,2026-06-29,Present,8.00
153,153,2026-06-29,Present,8.00
154,154,2026-06-29,Present,8.00
155,155,2026-06-29,Present,8.00
156,156,2026-06-29,Present,8.00
157,157,2026-06-29,Present,8.00
158,158,2026-06-29,Present,8.00
159,159,2026-06-29,Present,8.00
160,160,2026-06-29,Present,8.00
161,161,2026-06-29,Present,8.00
162,162,2026-06-29,Present,8.00
163,163,2026-06-29,Present,8.00
164,164,2026-06-29,Present,8.00
165,165,2026-06-29,Present,8.00
166,166,2026-06-29,Present,8.00
167,167,2026-06-29,Present,8.00
168,168,2026-06-29,Present,8.00
169,169,2026-06-29,Present,8.00
170,170,2026-06-29,Present,8.00
171,171,2026-06-29,Present,8.00
172,172,2026-06-29,Present,8.00
173,173,2026-06-29,Present,8.00
174,174,2026-06-29,Present,8.00
175,175,2026-06-29,Present,8.00
176,176,2026-06-29,Present,8.00
177,177,2026-06-29,Present,8.00
178,178,2026-06-29,Present,8.00
179,179,2026-06-29,Present,8.00
180,180,2026-06-29,Present,8.00
181,181,2026-06-29,Present,8.00
182,182,2026-06-29,Present,8.00
183,183,2026-06-29,Present,8.00
184,184,2026-06-29,Present,8.00
185,185,2026-06-29,Present,8.00
186,186,2026-06-29,Present,8.00
187,187,2026-06-29,Present,8.00
188,188,2026-06-29,Present,8.00
189,189,2026-06-29,Present,8.00
190,190,2026-06-29,Present,8.00
191,191,2026-06-29,Present,8.00
192,192,2026-06-29,Present,8.00
193,193,2026-06-29,Present,8.00
194,194,2026-06-29,Present,8.00
195,195,2026-06-29,Present,8.00
196,196,2026-06-29,Present,8.00
197,197,2026-06-29,Present,8.00
198,198,2026-06-29,Present,8.00
199,199,2026-06-29,Present,8.00
200,200,2026-06-29,Present,8.00
201,1,2026-06-28,Present,8.00
202,2,2026-06-28,Present,8.00
203,3,2026-06-28,Present,8.00
204,4,2026-06-28,Present,8.00
205,5,2026-06-28,Present,8.00
206,6,2026-06-28,Present,8.00
207,7,2026-06-28,Present,8.00
208,8,2026-06-28,Present,8.00
209,9,2026-06-28,Present,8.00
210,10,2026-06-28,Present,8.00
211,11,2026-06-28,Present,8.00
212,12,2026-06-28,Present,8.00
213,13,2026-06-28,Present,8.00
214,14,2026-06-28,Present,8.00
215,15,2026-06-28,Present,8.00
216,16,2026-06-28,Present,8.00
217,17,2026-06-28,Present,8.00
218,18,2026-06-28,Present,8.00
219,19,2026-06-28,Present,8.00
220,20,2026-06-28,Present,8.00
221,21,2026-06-28,Present,8.00
222,22,2026-06-28,Present,8.00
223,23,2026-06-28,Present,8.00
224,24,2026-06-28,Present,8.00
225,25,2026-06-28,Present,8.00
226,26,2026-06-28,Present,8.00
227,27,2026-06-28,Present,8.00
228,28,2026-06-28,Present,8.00
229,29,2026-06-28,Present,8.00
230,30,2026-06-28,Present,8.00
231,31,2026-06-28,Present,8.00
232,32,2026-06-28,Present,8.00
233,33,2026-06-28,Present,8.00
234,34,2026-06-28,Present,8.00
235,35,2026-06-28,Present,8.00
236,36,2026-06-28,Present,8.00
237,37,2026-06-28,Present,8.00
238,38,2026-06-28,Present,8.00
239,39,2026-06-28,Present,8.00
240,40,2026-06-28,Present,8.00
241,41,2026-06-28,Present,8.00
242,42,2026-06-28,Present,8.00
243,43,2026-06-28,Present,8.00
244,44,2026-06-28,Present,8.00
245,45,2026-06-28,Present,8.00
246,46,2026-06-28,Present,8.00
247,47,2026-06-28,Present,8.00
248,48,2026-06-28,Present,8.00
249,49,2026-06-28,Present,8.00
250,50,2026-06-28,Present,8.00
251,51,2026-06-28,Present,8.00
252,52,2026-06-28,Present,8.00
253,53,2026-06-28,Present,8.00
254,54,2026-06-28,Present,8.00
255,55,2026-06-28,Present,8.00
256,56,2026-06-28,Present,8.00
257,57,2026-06-28,Present,8.00
258,58,2026-06-28,Present,8.00
259,59,2026-06-28,Present,8.00
260,60,2026-06-28,Present,8.00
261,61,2026-06-28,Present,8.00
262,62,2026-06-28,Present,8.00
263,63,2026-06-28,Present,8.00
264,64,2026-06-28,Present,8.00
265,65,2026-06-28,Present,8.00
266,66,2026-06-28,Present,8.00
267,67,2026-06-28,Present,8.00
268,68,2026-06-28,Present,8.00
269,69,2026-06-28,Present,8.00
270,70,2026-06-28,Present,8.00
271,71,2026-06-28,Present,8.00
272,72,2026-06-28,Present,8.00
273,73,2026-06-28,Present,8.00
274,74,2026-06-28,Present,8.00
275,75,2026-06-28,Present,8.00
276,76,2026-06-28,Present,8.00
277,77,2026-06-28,Present,8.00
278,78,2026-06-28,Present,8.00
279,79,2026-06-28,Present,8.00
280,80,2026-06-28,Present,8.00
281,81,2026-06-28,Present,8.00
282,82,2026-06-28,Present,8.00
283,83,2026-06-28,Present,8.00
284,84,2026-06-28,Present,8.00
285,85,2026-06-28,Present,8.00
286,86,2026-06-28,Present,8.00
287,87,2026-06-28,Present,8.00
288,88,2026-06-28,Present,8.00
289,89,2026-06-28,Present,8.00
290,90,2026-06-28,Present,8.00
291,91,2026-06-28,Present,8.00
292,92,2026-06-28,Present,8.00
293,93,2026-06-28,Present,8.00
294,94,2026-06-28,Present,8.00
295,95,2026-06-28,Present,8.00
296,96,2026-06-28,Present,8.00
297,97,2026-06-28,Present,8.00
298,98,2026-06-28,Present,8.00
299,99,2026-06-28,Present,8.00
300,100,2026-06-28,Present,8.00
301,101,2026-06-28,Present,8.00
302,102,2026-06-28,Present,8.00
303,103,2026-06-28,Present,8.00
304,104,2026-06-28,Present,8.00
305,105,2026-06-28,Present,8.00
306,106,2026-06-28,Present,8.00
307,107,2026-06-28,Present,8.00
308,108,2026-06-28,Present,8.00
309,109,2026-06-28,Present,8.00
310,110,2026-06-28,Present,8.00
311,111,2026-06-28,Present,8.00
312,112,2026-06-28,Present,8.00
313,113,2026-06-28,Present,8.00
314,114,2026-06-28,Present,8.00
315,115,2026-06-28,Present,8.00
316,116,2026-06-28,Present,8.00
317,117,2026-06-28,Present,8.00
318,118,2026-06-28,Present,8.00
319,119,2026-06-28,Present,8.00
320,120,2026-06-28,Present,8.00
321,121,2026-06-28,Present,8.00
322,122,2026-06-28,Present,8.00
323,123,2026-06-28,Present,8.00
324,124,2026-06-28,Present,8.00
325,125,2026-06-28,Present,8.00
326,126,2026-06-28,Present,8.00
327,127,2026-06-28,Present,8.00
328,128,2026-06-28,Present,8.00
329,129,2026-06-28,Present,8.00
330,130,2026-06-28,Present,8.00
331,131,2026-06-28,Present,8.00
332,132,2026-06-28,Present,8.00
333,133,2026-06-28,Present,8.00
334,134,2026-06-28,Present,8.00
335,135,2026-06-28,Present,8.00
336,136,2026-06-28,Present,8.00
337,137,2026-06-28,Present,8.00
338,138,2026-06-28,Present,8.00
339,139,2026-06-28,Present,8.00
340,140,2026-06-28,Present,8.00
341,141,2026-06-28,Present,8.00
342,142,2026-06-28,Present,8.00
343,143,2026-06-28,Present,8.00
344,144,2026-06-28,Present,8.00
345,145,2026-06-28,Present,8.00
346,146,2026-06-28,Present,8.00
347,147,2026-06-28,Present,8.00
348,148,2026-06-28,Present,8.00
349,149,2026-06-28,Present,8.00
350,150,2026-06-28,Present,8.00
351,151,2026-06-28,Present,8.00
352,152,2026-06-28,Present,8.00
353,153,2026-06-28,Present,8.00
354,154,2026-06-28,Present,8.00
355,155,2026-06-28,Present,8.00
356,156,2026-06-28,Present,8.00
357,157,2026-06-28,Present,8.00
358,158,2026-06-28,Present,8.00
359,159,2026-06-28,Present,8.00
360,160,2026-06-28,Present,8.00
361,161,2026-06-28,Present,8.00
362,162,2026-06-28,Present,8.00
363,163,2026-06-28,Present,8.00
364,164,2026-06-28,Present,8.00
365,165,2026-06-28,Present,8.00
366,166,2026-06-28,Present,8.00
367,167,2026-06-28,Present,8.00
368,168,2026-06-28,Present,8.00
369,169,2026-06-28,Present,8.00
370,170,2026-06-28,Present,8.00
371,171,2026-06-28,Present,8.00
372,172,2026-06-28,Present,8.00
373,173,2026-06-28,Present,8.00
374,174,2026-06-28,Present,8.00
375,175,2026-06-28,Present,8.00
376,176,2026-06-28,Present,8.00
377,177,2026-06-28,Present,8.00
378,178,2026-06-28,Present,8.00
379,179,2026-06-28,Present,8.00
380,180,2026-06-28,Present,8.00
381,181,2026-06-28,Present,8.00
382,182,2026-06-28,Present,8.00
383,183,2026-06-28,Present,8.00
384,184,2026-06-28,Present,8.00
385,185,2026-06-28,Present,8.00
386,186,2026-06-28,Present,8.00
387,187,2026-06-28,Present,8.00
388,188,2026-06-28,Present,8.00
389,189,2026-06-28,Present,8.00
390,190,2026-06-28,Present,8.00
391,191,2026-06-28,Present,8.00
392,192,2026-06-28,Present,8.00
393,193,2026-06-28,Present,8.00
394,194,2026-06-28,Present,8.00
395,195,2026-06-28,Present,8.00
396,196,2026-06-28,Present,8.00
397,197,2026-06-28,Present,8.00
398,198,2026-06-28,Present,8.00
399,199,2026-06-28,Present,8.00
400,200,2026-06-28,Present,8.00
401,1,2026-06-27,Present,8.00
402,2,2026-06-27,Present,8.00
403,3,2026-06-27,Present,8.00
404,4,2026-06-27,Present,8.00
405,5,2026-06-27,Present,8.00
406,6,2026-06-27,Present,8.00
407,7,2026-06-27,Present,8.00
408,8,2026-06-27,Present,8.00
409,9,2026-06-27,Present,8.00
410,10,2026-06-27,Present,8.00
411,11,2026-06-27,Present,8.00
412,12,2026-06-27,Present,8.00
413,13,2026-06-27,Present,8.00
414,14,2026-06-27,Present,8.00
415,15,2026-06-27,Present,8.00
416,16,2026-06-27,Present,8.00
417,17,2026-06-27,Present,8.00
418,18,2026-06-27,Present,8.00
419,19,2026-06-27,Present,8.00
420,20,2026-06-27,Present,8.00
421,21,2026-06-27,Present,8.00
422,22,2026-06-27,Present,8.00
423,23,2026-06-27,Present,8.00
424,24,2026-06-27,Present,8.00
425,25,2026-06-27,Present,8.00
426,26,2026-06-27,Present,8.00
427,27,2026-06-27,Present,8.00
428,28,2026-06-27,Present,8.00
429,29,2026-06-27,Present,8.00
430,30,2026-06-27,Present,8.00
431,31,2026-06-27,Present,8.00
432,32,2026-06-27,Present,8.00
433,33,2026-06-27,Present,8.00
434,34,2026-06-27,Present,8.00
435,35,2026-06-27,Present,8.00
436,36,2026-06-27,Present,8.00
437,37,2026-06-27,Present,8.00
438,38,2026-06-27,Present,8.00
439,39,2026-06-27,Present,8.00
440,40,2026-06-27,Present,8.00
441,41,2026-06-27,Present,8.00
442,42,2026-06-27,Present,8.00
443,43,2026-06-27,Present,8.00
444,44,2026-06-27,Present,8.00
445,45,2026-06-27,Present,8.00
446,46,2026-06-27,Present,8.00
447,47,2026-06-27,Present,8.00
448,48,2026-06-27,Present,8.00
449,49,2026-06-27,Present,8.00
450,50,2026-06-27,Present,8.00
451,51,2026-06-27,Present,8.00
452,52,2026-06-27,Present,8.00
453,53,2026-06-27,Present,8.00
454,54,2026-06-27,Present,8.00
455,55,2026-06-27,Present,8.00
456,56,2026-06-27,Present,8.00
457,57,2026-06-27,Present,8.00
458,58,2026-06-27,Present,8.00
459,59,2026-06-27,Present,8.00
460,60,2026-06-27,Present,8.00
461,61,2026-06-27,Present,8.00
462,62,2026-06-27,Present,8.00
463,63,2026-06-27,Present,8.00
464,64,2026-06-27,Present,8.00
465,65,2026-06-27,Present,8.00
466,66,2026-06-27,Present,8.00
467,67,2026-06-27,Present,8.00
468,68,2026-06-27,Present,8.00
469,69,2026-06-27,Present,8.00
470,70,2026-06-27,Present,8.00
471,71,2026-06-27,Present,8.00
472,72,2026-06-27,Present,8.00
473,73,2026-06-27,Present,8.00
474,74,2026-06-27,Present,8.00
475,75,2026-06-27,Present,8.00
476,76,2026-06-27,Present,8.00
477,77,2026-06-27,Present,8.00
478,78,2026-06-27,Present,8.00
479,79,2026-06-27,Present,8.00
480,80,2026-06-27,Present,8.00
481,81,2026-06-27,Present,8.00
482,82,2026-06-27,Present,8.00
483,83,2026-06-27,Present,8.00
484,84,2026-06-27,Present,8.00
485,85,2026-06-27,Present,8.00
486,86,2026-06-27,Present,8.00
487,87,2026-06-27,Present,8.00
488,88,2026-06-27,Present,8.00
489,89,2026-06-27,Present,8.00
490,90,2026-06-27,Present,8.00
491,91,2026-06-27,Present,8.00
492,92,2026-06-27,Present,8.00
493,93,2026-06-27,Present,8.00
494,94,2026-06-27,Present,8.00
495,95,2026-06-27,Present,8.00
496,96,2026-06-27,Present,8.00
497,97,2026-06-27,Present,8.00
498,98,2026-06-27,Present,8.00
499,99,2026-06-27,Present,8.00
500,100,2026-06-27,Present,8.00
501,101,2026-06-27,Present,8.00
502,102,2026-06-27,Present,8.00
503,103,2026-06-27,Present,8.00
504,104,2026-06-27,Present,8.00
505,105,2026-06-27,Present,8.00
506,106,2026-06-27,Present,8.00
507,107,2026-06-27,Present,8.00
508,108,2026-06-27,Present,8.00
509,109,2026-06-27,Present,8.00
510,110,2026-06-27,Present,8.00
511,111,2026-06-27,Present,8.00
512,112,2026-06-27,Present,8.00
513,113,2026-06-27,Present,8.00
514,114,2026-06-27,Present,8.00
515,115,2026-06-27,Present,8.00
516,116,2026-06-27,Present,8.00
517,117,2026-06-27,Present,8.00
518,118,2026-06-27,Present,8.00
519,119,2026-06-27,Present,8.00
520,120,2026-06-27,Present,8.00
521,121,2026-06-27,Present,8.00
522,122,2026-06-27,Present,8.00
523,123,2026-06-27,Present,8.00
524,124,2026-06-27,Present,8.00
525,125,2026-06-27,Present,8.00
526,126,2026-06-27,Present,8.00
527,127,2026-06-27,Present,8.00
528,128,2026-06-27,Present,8.00
529,129,2026-06-27,Present,8.00
530,130,2026-06-27,Present,8.00
531,131,2026-06-27,Present,8.00
532,132,2026-06-27,Present,8.00
533,133,2026-06-27,Present,8.00
534,134,2026-06-27,Present,8.00
535,135,2026-06-27,Present,8.00
536,136,2026-06-27,Present,8.00
537,137,2026-06-27,Present,8.00
538,138,2026-06-27,Present,8.00
539,139,2026-06-27,Present,8.00
540,140,2026-06-27,Present,8.00
541,141,2026-06-27,Present,8.00
542,142,2026-06-27,Present,8.00
543,143,2026-06-27,Present,8.00
544,144,2026-06-27,Present,8.00
545,145,2026-06-27,Present,8.00
546,146,2026-06-27,Present,8.00
547,147,2026-06-27,Present,8.00
548,148,2026-06-27,Present,8.00
549,149,2026-06-27,Present,8.00
550,150,2026-06-27,Present,8.00
551,151,2026-06-27,Present,8.00
552,152,2026-06-27,Present,8.00
553,153,2026-06-27,Present,8.00
554,154,2026-06-27,Present,8.00
555,155,2026-06-27,Present,8.00
556,156,2026-06-27,Present,8.00
557,157,2026-06-27,Present,8.00
558,158,2026-06-27,Present,8.00
559,159,2026-06-27,Present,8.00
560,160,2026-06-27,Present,8.00
561,161,2026-06-27,Present,8.00
562,162,2026-06-27,Present,8.00
563,163,2026-06-27,Present,8.00
564,164,2026-06-27,Present,8.00
565,165,2026-06-27,Present,8.00
566,166,2026-06-27,Present,8.00
567,167,2026-06-27,Present,8.00
568,168,2026-06-27,Present,8.00
569,169,2026-06-27,Present,8.00
570,170,2026-06-27,Present,8.00
571,171,2026-06-27,Present,8.00
572,172,2026-06-27,Present,8.00
573,173,2026-06-27,Present,8.00
574,174,2026-06-27,Present,8.00
575,175,2026-06-27,Present,8.00
576,176,2026-06-27,Present,8.00
577,177,2026-06-27,Present,8.00
578,178,2026-06-27,Present,8.00
579,179,2026-06-27,Present,8.00
580,180,2026-06-27,Present,8.00
581,181,2026-06-27,Present,8.00
582,182,2026-06-27,Present,8.00
583,183,2026-06-27,Present,8.00
584,184,2026-06-27,Present,8.00
585,185,2026-06-27,Present,8.00
586,186,2026-06-27,Present,8.00
587,187,2026-06-27,Present,8.00
588,188,2026-06-27,Present,8.00
589,189,2026-06-27,Present,8.00
590,190,2026-06-27,Present,8.00
591,191,2026-06-27,Present,8.00
592,192,2026-06-27,Present,8.00
593,193,2026-06-27,Present,8.00
594,194,2026-06-27,Present,8.00
595,195,2026-06-27,Present,8.00
596,196,2026-06-27,Present,8.00
597,197,2026-06-27,Present,8.00
598,198,2026-06-27,Present,8.00
599,199,2026-06-27,Present,8.00
600,200,2026-06-27,Present,8.00
601,1,2026-06-26,Present,8.00
602,2,2026-06-26,Present,8.00
603,3,2026-06-26,Present,8.00
604,4,2026-06-26,Present,8.00
605,5,2026-06-26,Present,8.00
606,6,2026-06-26,Present,8.00
607,7,2026-06-26,Present,8.00
608,8,2026-06-26,Present,8.00
609,9,2026-06-26,Present,8.00
610,10,2026-06-26,Present,8.00
611,11,2026-06-26,Present,8.00
612,12,2026-06-26,Present,8.00
613,13,2026-06-26,Present,8.00
614,14,2026-06-26,Present,8.00
615,15,2026-06-26,Present,8.00
616,16,2026-06-26,Present,8.00
617,17,2026-06-26,Present,8.00
618,18,2026-06-26,Present,8.00
619,19,2026-06-26,Present,8.00
620,20,2026-06-26,Present,8.00
621,21,2026-06-26,Present,8.00
622,22,2026-06-26,Present,8.00
623,23,2026-06-26,Present,8.00
624,24,2026-06-26,Present,8.00
625,25,2026-06-26,Present,8.00
626,26,2026-06-26,Present,8.00
627,27,2026-06-26,Present,8.00
628,28,2026-06-26,Present,8.00
629,29,2026-06-26,Present,8.00
630,30,2026-06-26,Present,8.00
631,31,2026-06-26,Present,8.00
632,32,2026-06-26,Present,8.00
633,33,2026-06-26,Present,8.00
634,34,2026-06-26,Present,8.00
635,35,2026-06-26,Present,8.00
636,36,2026-06-26,Present,8.00
637,37,2026-06-26,Present,8.00
638,38,2026-06-26,Present,8.00
639,39,2026-06-26,Present,8.00
640,40,2026-06-26,Present,8.00
641,41,2026-06-26,Present,8.00
642,42,2026-06-26,Present,8.00
643,43,2026-06-26,Present,8.00
644,44,2026-06-26,Present,8.00
645,45,2026-06-26,Present,8.00
646,46,2026-06-26,Present,8.00
647,47,2026-06-26,Present,8.00
648,48,2026-06-26,Present,8.00
649,49,2026-06-26,Present,8.00
650,50,2026-06-26,Present,8.00
651,51,2026-06-26,Present,8.00
652,52,2026-06-26,Present,8.00
653,53,2026-06-26,Present,8.00
654,54,2026-06-26,Present,8.00
655,55,2026-06-26,Present,8.00
656,56,2026-06-26,Present,8.00
657,57,2026-06-26,Present,8.00
658,58,2026-06-26,Present,8.00
659,59,2026-06-26,Present,8.00
660,60,2026-06-26,Present,8.00
661,61,2026-06-26,Present,8.00
662,62,2026-06-26,Present,8.00
663,63,2026-06-26,Present,8.00
664,64,2026-06-26,Present,8.00
665,65,2026-06-26,Present,8.00
666,66,2026-06-26,Present,8.00
667,67,2026-06-26,Present,8.00
668,68,2026-06-26,Present,8.00
669,69,2026-06-26,Present,8.00
670,70,2026-06-26,Present,8.00
671,71,2026-06-26,Present,8.00
672,72,2026-06-26,Present,8.00
673,73,2026-06-26,Present,8.00
674,74,2026-06-26,Present,8.00
675,75,2026-06-26,Present,8.00
676,76,2026-06-26,Present,8.00
677,77,2026-06-26,Present,8.00
678,78,2026-06-26,Present,8.00
679,79,2026-06-26,Present,8.00
680,80,2026-06-26,Present,8.00
681,81,2026-06-26,Present,8.00
682,82,2026-06-26,Present,8.00
683,83,2026-06-26,Present,8.00
684,84,2026-06-26,Present,8.00
685,85,2026-06-26,Present,8.00
686,86,2026-06-26,Present,8.00
687,87,2026-06-26,Present,8.00
688,88,2026-06-26,Present,8.00
689,89,2026-06-26,Present,8.00
690,90,2026-06-26,Present,8.00
691,91,2026-06-26,Present,8.00
692,92,2026-06-26,Present,8.00
693,93,2026-06-26,Present,8.00
694,94,2026-06-26,Present,8.00
695,95,2026-06-26,Present,8.00
696,96,2026-06-26,Present,8.00
697,97,2026-06-26,Present,8.00
698,98,2026-06-26,Present,8.00
699,99,2026-06-26,Present,8.00
700,100,2026-06-26,Present,8.00
701,101,2026-06-26,Present,8.00
702,102,2026-06-26,Present,8.00
703,103,2026-06-26,Present,8.00
704,104,2026-06-26,Present,8.00
705,105,2026-06-26,Present,8.00
706,106,2026-06-26,Present,8.00
707,107,2026-06-26,Present,8.00
708,108,2026-06-26,Present,8.00
709,109,2026-06-26,Present,8.00
710,110,2026-06-26,Present,8.00
711,111,2026-06-26,Present,8.00
712,112,2026-06-26,Present,8.00
713,113,2026-06-26,Present,8.00
714,114,2026-06-26,Present,8.00
715,115,2026-06-26,Present,8.00
716,116,2026-06-26,Present,8.00
717,117,2026-06-26,Present,8.00
718,118,2026-06-26,Present,8.00
719,119,2026-06-26,Present,8.00
720,120,2026-06-26,Present,8.00
721,121,2026-06-26,Present,8.00
722,122,2026-06-26,Present,8.00
723,123,2026-06-26,Present,8.00
724,124,2026-06-26,Present,8.00
725,125,2026-06-26,Present,8.00
726,126,2026-06-26,Present,8.00
727,127,2026-06-26,Present,8.00
728,128,2026-06-26,Present,8.00
729,129,2026-06-26,Present,8.00
730,130,2026-06-26,Present,8.00
731,131,2026-06-26,Present,8.00
732,132,2026-06-26,Present,8.00
733,133,2026-06-26,Present,8.00
734,134,2026-06-26,Present,8.00
735,135,2026-06-26,Present,8.00
736,136,2026-06-26,Present,8.00
737,137,2026-06-26,Present,8.00
738,138,2026-06-26,Present,8.00
739,139,2026-06-26,Present,8.00
740,140,2026-06-26,Present,8.00
741,141,2026-06-26,Present,8.00
742,142,2026-06-26,Present,8.00
743,143,2026-06-26,Present,8.00
744,144,2026-06-26,Present,8.00
745,145,2026-06-26,Present,8.00
746,146,2026-06-26,Present,8.00
747,147,2026-06-26,Present,8.00
748,148,2026-06-26,Present,8.00
749,149,2026-06-26,Present,8.00
750,150,2026-06-26,Present,8.00
751,151,2026-06-26,Present,8.00
752,152,2026-06-26,Present,8.00
753,153,2026-06-26,Present,8.00
754,154,2026-06-26,Present,8.00
755,155,2026-06-26,Present,8.00
756,156,2026-06-26,Present,8.00
757,157,2026-06-26,Present,8.00
758,158,2026-06-26,Present,8.00
759,159,2026-06-26,Present,8.00
760,160,2026-06-26,Present,8.00
761,161,2026-06-26,Present,8.00
762,162,2026-06-26,Present,8.00
763,163,2026-06-26,Present,8.00
764,164,2026-06-26,Present,8.00
765,165,2026-06-26,Present,8.00
766,166,2026-06-26,Present,8.00
767,167,2026-06-26,Present,8.00
768,168,2026-06-26,Present,8.00
769,169,2026-06-26,Present,8.00
770,170,2026-06-26,Present,8.00
771,171,2026-06-26,Present,8.00
772,172,2026-06-26,Present,8.00
773,173,2026-06-26,Present,8.00
774,174,2026-06-26,Present,8.00
